candidate_id,candidate_family,representation,grid_size,order,sigma,surface_density,surface_trim_cutoff,surface_probe_radius,proximity_length_scale,padding,distance,score_mode,fit_order,order_decay_n0,gap_band_soft_width,gap_contact_scale,af3_failure_rescue_rate,delta_rescue_vs_sc,pooled_af3_auroc,delta_af3_auroc_vs_sc,pooled_af3_average_precision,delta_af3_average_precision_vs_sc,pooled_all_auroc,delta_all_auroc_vs_sc,pooled_all_average_precision,delta_all_average_precision_vs_sc,pooled_af2_auroc,median_runtime_sec,runtime_ratio_vs_sc,runtime_ratio_vs_atom_baseline,sidechain_jitter_median_abs_delta,delta_sidechain_jitter_vs_sc,positive_median_score,negative_median_score,positive_minus_negative_median,positive_fraction_ge_0_95,negative_fraction_ge_0_95,score_min,score_max,score_dynamic_range,saturation_reject,production_eligible,diagnostic_only,diagnostic_pass,stage1_reject,af3_not_worse_than_current_atom_gap,improved_rescue_specialist,runtime_ok,robustness_pass,guardrail_pass,accepted_for_production,rank,recommended_candidate,normal_gap_contact_scale
atom_gaussian__g24__o2__s1.5__mgapexcess__f12,grid_gap,atom_gaussian,24,2,1.5,,,,,2.0,8.0,gap_zernike_excess_bandpass,12,,,,0.24271844660194175,0.24271844660194175,0.6517443930224279,0.5089889640441438,0.6425485416630083,0.31056843412576385,0.6517443930224279,0.5089889640441438,0.6425485416630083,0.31056843412576385,nan,nan,nan,nan,nan,nan,0.010406064267200282,0.005284160302826866,0.005121903964373416,0.0,0.0,0.0,0.07368363607200229,0.07368363607200229,1,1,0,0,1,0,0,0,0,1,0,30,0,
atom_gaussian__g24__o4__s1.5__mgapexcess__f12,grid_gap,atom_gaussian,24,4,1.5,,,,,2.0,8.0,gap_zernike_excess_bandpass,12,,,,0.24271844660194175,0.24271844660194175,0.6471164115343538,0.5043609825560698,0.6419411972382041,0.3099610897009596,0.6471164115343538,0.5043609825560698,0.6419411972382041,0.3099610897009596,nan,nan,nan,nan,nan,nan,0.02470842260917232,0.01204537728764151,0.01266304532153081,0.0,0.0,0.0,0.18106005743644354,0.18106005743644354,0,1,0,0,1,0,0,0,0,1,0,31,0,
atom_gaussian__g24__o2__s1__mgapsoft__f12,grid_gap,atom_gaussian,24,2,1.0,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,1.0,,0.24271844660194175,0.24271844660194175,0.6447134211463155,0.5019579921680314,0.6384590910546513,0.30647898351740677,0.6447134211463155,0.5019579921680314,0.6384590910546513,0.30647898351740677,nan,nan,nan,nan,nan,nan,0.014514664639062718,0.0067129390273159145,0.007801725611746803,0.0,0.0,0.0002185853958197636,0.07388274901136252,0.07366416361554276,1,1,0,0,1,0,0,0,0,1,0,32,0,
atom_gaussian__g32__o2__s1__mgapexcess__f12,grid_gap,atom_gaussian,32,2,1.0,,,,,2.0,8.0,gap_zernike_excess_bandpass,12,,,,0.24271844660194175,0.24271844660194175,0.6445799216803133,0.5018244927020292,0.6744884203206367,0.3425083127833922,0.6445799216803133,0.5018244927020292,0.6744884203206367,0.3425083127833922,nan,nan,nan,nan,nan,nan,0.003345317069007024,0.0,0.003345317069007024,0.0,0.0,0.0,0.05516660394651782,0.05516660394651782,1,1,0,0,1,0,0,0,0,1,0,33,0,
atom_gaussian__g24__o2__s1__mgapsoft__w2__f12,grid_gap,atom_gaussian,24,2,1.0,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,2.0,,0.24271844660194175,0.24271844660194175,0.642310430758277,0.4995550017799929,0.6372264997470561,0.30524639220981165,0.642310430758277,0.4995550017799929,0.6372264997470561,0.30524639220981165,nan,nan,nan,nan,nan,nan,0.01710504263483595,0.007851824973292967,0.009253217661542981,0.0,0.0,0.000271178020940791,0.08847215399264192,0.08820097597170114,1,1,0,0,1,0,0,0,0,1,0,34,0,
atom_gaussian__g24__o2__s1__mgapexcess__f12,grid_gap,atom_gaussian,24,2,1.0,,,,,2.0,8.0,gap_zernike_excess_bandpass,12,,,,0.24271844660194175,0.24271844660194175,0.6334104663581346,0.4906550373798505,0.6416425584363511,0.3096624508991066,0.6334104663581346,0.4906550373798505,0.6416425584363511,0.3096624508991066,nan,nan,nan,nan,nan,nan,0.010406064267200282,0.0036202069910000615,0.006785857276200221,0.0,0.0,0.0,0.07368363607200229,0.07368363607200229,1,1,0,0,1,0,0,0,0,1,0,35,0,
atom_gaussian__g24__o4__s1__mgapexcess__f12,grid_gap,atom_gaussian,24,4,1.0,,,,,2.0,8.0,gap_zernike_excess_bandpass,12,,,,0.24271844660194175,0.24271844660194175,0.632431470274119,0.48967604129583486,0.642691146136906,0.31071103859966154,0.632431470274119,0.48967604129583486,0.642691146136906,0.31071103859966154,nan,nan,nan,nan,nan,nan,0.02470842260917232,0.007782384064977317,0.016926038544195006,0.0,0.0,0.0,0.18106005743644354,0.18106005743644354,0,1,0,0,1,0,0,0,0,1,0,36,0,
atom_gaussian__g24__o4__s2__mgapsoft__f12,grid_gap,atom_gaussian,24,4,2.0,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,1.0,,0.24271844660194175,0.24271844660194175,0.585439658241367,0.44268422926308293,0.6132116325360194,0.2812315249987749,0.585439658241367,0.44268422926308293,0.6132116325360194,0.2812315249987749,nan,nan,nan,nan,nan,nan,0.05013818229580279,0.044430704660985684,0.005707477634817104,0.0,0.0,0.009174776405988757,0.18160103261188054,0.17242625620589178,1,1,0,0,1,0,0,0,0,1,0,37,0,
atom_gaussian__g32__o4__s2__mgapsoft__w2__f12,grid_gap,atom_gaussian,32,4,2.0,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,2.0,,0.24271844660194175,0.24271844660194175,0.5624777500889997,0.4197223211107156,0.6046246713555194,0.27264456381827495,0.5624777500889997,0.4197223211107156,0.6046246713555194,0.27264456381827495,nan,nan,nan,nan,nan,nan,0.0500507746661263,0.04576548172830132,0.0042852929378249804,0.0,0.0,0.011946000540025495,0.15864201725835025,0.14669601671832477,1,1,0,0,1,0,0,0,0,1,0,38,0,
atom_gaussian__g32__o6__s1__mgapsoft__w2__f12,grid_gap,atom_gaussian,32,6,1.0,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,2.0,,0.23300970873786409,0.23300970873786409,0.6709683161267355,0.5282128871484514,0.6585498260266321,0.32656971848938765,0.6709683161267355,0.5282128871484514,0.6585498260266321,0.32656971848938765,nan,nan,nan,nan,nan,nan,0.021522479072465274,0.007949088451558523,0.01357339062090675,0.0,0.0,0.0006935589970448387,0.2847211971378407,0.2840276381407959,0,1,0,1,0,1,1,0,0,1,0,39,0,
atom_gaussian__g24__o6__s1.5__mgapsoft__w2__f12,grid_gap,atom_gaussian,24,6,1.5,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,2.0,,0.23300970873786409,0.23300970873786409,0.6542363830544677,0.5114809540761837,0.6434585119326203,0.3114784043953758,0.6542363830544677,0.5114809540761837,0.6434585119326203,0.3114784043953758,nan,nan,nan,nan,nan,nan,0.05479209190654295,0.03452450048595951,0.020267591420583445,0.0,0.0,0.00655140218131098,0.3394850551438378,0.3329336529625268,0,1,0,1,0,1,0,0,0,1,0,40,0,
atom_gaussian__g24__o6__s1.5__mgapsoft__f12,grid_gap,atom_gaussian,24,6,1.5,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,1.0,,0.23300970873786409,0.23300970873786409,0.6521003915984336,0.5093449626201495,0.643947986299034,0.31196787876178955,0.6521003915984336,0.5093449626201495,0.643947986299034,0.31196787876178955,nan,nan,nan,nan,nan,nan,0.05108247441507903,0.0329026963294676,0.01817977808561143,0.0,0.0,0.00530944131913457,0.3120971646167482,0.3067877232976136,0,1,0,0,1,0,0,0,0,1,0,41,0,
