candidate_id,scope,organism,backend,auroc,average_precision,n_pos,n_neg,sc_auroc,sc_average_precision,delta_auroc_vs_sc,delta_average_precision_vs_sc
atom_gaussian__g24__o2__s1__mgapsoft__w2__f12,cell,human,af3,0.76171875,0.7627610118196309,32,32,0.0,0.31460429173075105,0.76171875,0.4481567200888798
atom_gaussian__g24__o2__s1__mgapsoft__w2__f12,cell,yeast,af3,0.53125,0.5813007016132016,16,16,0.0,0.3222337977924731,0.53125,0.2590669038207285
atom_gaussian__g24__o2__s1__mgapsoft__w2__f12,cell,ecoli,af3,0.7222222222222222,0.8555555555555555,6,3,0.0,0.5021825396825397,0.7222222222222222,0.35337301587301584
atom_gaussian__g24__o2__s1__mgapsoft__w2__f12,cell,arabidopsis,af3,0.608041958041958,0.5663666573659201,52,55,0.5223776223776224,0.4842459862421244,0.08566433566433562,0.08212067112379567
atom_gaussian__g24__o2__s1__mgapsoft__w2__f12,global,,,0.642310430758277,0.6372264997470561,106,106,0.14275542897828408,0.3319801075372445,0.4995550017799929,0.30524639220981165
atom_gaussian__g24__o2__s1__mgapsoft__w2__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g24__o2__s1__mgapsoft__w2__f12,af3,,af3,0.642310430758277,0.6372264997470561,106,106,0.14275542897828408,0.3319801075372445,0.4995550017799929,0.30524639220981165
atom_gaussian__g24__o4__s1__mgapexcess__f12,cell,human,af3,0.79736328125,0.80326250413465,32,32,0.0,0.31460429173075105,0.79736328125,0.4886582124038989
atom_gaussian__g24__o4__s1__mgapexcess__f12,cell,yeast,af3,0.52734375,0.5969853481073055,16,16,0.0,0.3222337977924731,0.52734375,0.27475155031483245
atom_gaussian__g24__o4__s1__mgapexcess__f12,cell,ecoli,af3,0.6111111111111112,0.8551587301587301,6,3,0.0,0.5021825396825397,0.6111111111111112,0.35297619047619044
atom_gaussian__g24__o4__s1__mgapexcess__f12,cell,arabidopsis,af3,0.570979020979021,0.5478031540476348,52,55,0.5223776223776224,0.4842459862421244,0.04860139860139856,0.0635571678055104
atom_gaussian__g24__o4__s1__mgapexcess__f12,global,,,0.632431470274119,0.642691146136906,106,106,0.14275542897828408,0.3319801075372445,0.48967604129583486,0.31071103859966154
atom_gaussian__g24__o4__s1__mgapexcess__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g24__o4__s1__mgapexcess__f12,af3,,af3,0.632431470274119,0.642691146136906,106,106,0.14275542897828408,0.3319801075372445,0.48967604129583486,0.31071103859966154
atom_gaussian__g24__o4__s1__mgapsoft__f12,cell,human,af3,0.7685546875,0.7807498645885861,32,32,0.0,0.31460429173075105,0.7685546875,0.46614557285783503
atom_gaussian__g24__o4__s1__mgapsoft__f12,cell,yeast,af3,0.5234375,0.5836580497248601,16,16,0.0,0.3222337977924731,0.5234375,0.26142425193238705
atom_gaussian__g24__o4__s1__mgapsoft__f12,cell,ecoli,af3,0.6666666666666666,0.8551587301587301,6,3,0.0,0.5021825396825397,0.6666666666666666,0.35297619047619044
atom_gaussian__g24__o4__s1__mgapsoft__f12,cell,arabidopsis,af3,0.6,0.5583104856300433,52,55,0.5223776223776224,0.4842459862421244,0.07762237762237756,0.07406449938791887
atom_gaussian__g24__o4__s1__mgapsoft__f12,global,,,0.6398184407262371,0.6378702051997976,106,106,0.14275542897828408,0.3319801075372445,0.497063011747953,0.30589009766255315
atom_gaussian__g24__o4__s1__mgapsoft__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g24__o4__s1__mgapsoft__f12,af3,,af3,0.6398184407262371,0.6378702051997976,106,106,0.14275542897828408,0.3319801075372445,0.497063011747953,0.30589009766255315
atom_gaussian__g24__o4__s1__mgapsoft__w2__f12,cell,human,af3,0.78515625,0.7907470388839176,32,32,0.0,0.31460429173075105,0.78515625,0.47614274715316657
atom_gaussian__g24__o4__s1__mgapsoft__w2__f12,cell,yeast,af3,0.52734375,0.5851461449629554,16,16,0.0,0.3222337977924731,0.52734375,0.2629123471704823
atom_gaussian__g24__o4__s1__mgapsoft__w2__f12,cell,ecoli,af3,0.6666666666666666,0.8551587301587301,6,3,0.0,0.5021825396825397,0.6666666666666666,0.35297619047619044
atom_gaussian__g24__o4__s1__mgapsoft__w2__f12,cell,arabidopsis,af3,0.5919580419580419,0.5478962796173336,52,55,0.5223776223776224,0.4842459862421244,0.0695804195804195,0.06365029337520917
atom_gaussian__g24__o4__s1__mgapsoft__w2__f12,global,,,0.6398184407262371,0.6358098172156471,106,106,0.14275542897828408,0.3319801075372445,0.497063011747953,0.3038297096784026
atom_gaussian__g24__o4__s1__mgapsoft__w2__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g24__o4__s1__mgapsoft__w2__f12,af3,,af3,0.6398184407262371,0.6358098172156471,106,106,0.14275542897828408,0.3319801075372445,0.497063011747953,0.3038297096784026
atom_gaussian__g24__o6__s1__mgapexcess__f12,cell,human,af3,0.80029296875,0.8048561702939118,32,32,0.0,0.31460429173075105,0.80029296875,0.4902518785631607
atom_gaussian__g24__o6__s1__mgapexcess__f12,cell,yeast,af3,0.52734375,0.5969853481073055,16,16,0.0,0.3222337977924731,0.52734375,0.27475155031483245
atom_gaussian__g24__o6__s1__mgapexcess__f12,cell,ecoli,af3,0.6111111111111112,0.8551587301587301,6,3,0.0,0.5021825396825397,0.6111111111111112,0.35297619047619044
atom_gaussian__g24__o6__s1__mgapexcess__f12,cell,arabidopsis,af3,0.5636363636363636,0.5346150360264551,52,55,0.5223776223776224,0.4842459862421244,0.04125874125874118,0.05036904978433071
atom_gaussian__g24__o6__s1__mgapexcess__f12,global,,,0.6330544677821289,0.6416299847963021,106,106,0.14275542897828408,0.3319801075372445,0.49029903880384484,0.30964987725905757
atom_gaussian__g24__o6__s1__mgapexcess__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g24__o6__s1__mgapexcess__f12,af3,,af3,0.6330544677821289,0.6416299847963021,106,106,0.14275542897828408,0.3319801075372445,0.49029903880384484,0.30964987725905757
atom_gaussian__g24__o6__s1__mgapsoft__f12,cell,human,af3,0.7939453125,0.7988330895855293,32,32,0.0,0.31460429173075105,0.7939453125,0.4842287978547783
atom_gaussian__g24__o6__s1__mgapsoft__f12,cell,yeast,af3,0.53125,0.5863007016132017,16,16,0.0,0.3222337977924731,0.53125,0.2640669038207286
atom_gaussian__g24__o6__s1__mgapsoft__f12,cell,ecoli,af3,0.6666666666666666,0.8551587301587301,6,3,0.0,0.5021825396825397,0.6666666666666666,0.35297619047619044
atom_gaussian__g24__o6__s1__mgapsoft__f12,cell,arabidopsis,af3,0.5835664335664336,0.5368385768917824,52,55,0.5223776223776224,0.4842459862421244,0.06118881118881114,0.05259259064965799
atom_gaussian__g24__o6__s1__mgapsoft__f12,global,,,0.6418654325382699,0.6390344410219979,106,106,0.14275542897828408,0.3319801075372445,0.4991100035599858,0.3070543334847534
atom_gaussian__g24__o6__s1__mgapsoft__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g24__o6__s1__mgapsoft__f12,af3,,af3,0.6418654325382699,0.6390344410219979,106,106,0.14275542897828408,0.3319801075372445,0.4991100035599858,0.3070543334847534
atom_gaussian__g24__o6__s1__mgapsoft__w2__f12,cell,human,af3,0.8017578125,0.8044049901789392,32,32,0.0,0.31460429173075105,0.8017578125,0.48980069844818813
atom_gaussian__g24__o6__s1__mgapsoft__w2__f12,cell,yeast,af3,0.53125,0.5864754327959973,16,16,0.0,0.3222337977924731,0.53125,0.26424163500352427
atom_gaussian__g24__o6__s1__mgapsoft__w2__f12,cell,ecoli,af3,0.6666666666666666,0.8551587301587301,6,3,0.0,0.5021825396825397,0.6666666666666666,0.35297619047619044
atom_gaussian__g24__o6__s1__mgapsoft__w2__f12,cell,arabidopsis,af3,0.5783216783216784,0.5302043712255067,52,55,0.5223776223776224,0.4842459862421244,0.05594405594405594,0.04595838498338228
atom_gaussian__g24__o6__s1__mgapsoft__w2__f12,global,,,0.6425774296902812,0.6382348997532551,106,106,0.14275542897828408,0.3319801075372445,0.4998220007119971,0.3062547922160106
atom_gaussian__g24__o6__s1__mgapsoft__w2__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g24__o6__s1__mgapsoft__w2__f12,af3,,af3,0.6425774296902812,0.6382348997532551,106,106,0.14275542897828408,0.3319801075372445,0.4998220007119971,0.3062547922160106
atom_gaussian__g24__o2__s1.5__mgapexcess__f12,cell,human,af3,0.7822265625,0.7765597288105005,32,32,0.0,0.31460429173075105,0.7822265625,0.46195543707974945
atom_gaussian__g24__o2__s1.5__mgapexcess__f12,cell,yeast,af3,0.5234375,0.587040320597577,16,16,0.0,0.3222337977924731,0.5234375,0.26480652280510397
atom_gaussian__g24__o2__s1.5__mgapexcess__f12,cell,ecoli,af3,0.7777777777777778,0.8734126984126983,6,3,0.0,0.5021825396825397,0.7777777777777778,0.37123015873015863
atom_gaussian__g24__o2__s1.5__mgapexcess__f12,cell,arabidopsis,af3,0.5944055944055944,0.5590949784939931,52,55,0.5223776223776224,0.4842459862421244,0.07202797202797195,0.07484899225186875
atom_gaussian__g24__o2__s1.5__mgapexcess__f12,global,,,0.6517443930224279,0.6425485416630083,106,106,0.14275542897828408,0.3319801075372445,0.5089889640441438,0.31056843412576385
atom_gaussian__g24__o2__s1.5__mgapexcess__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g24__o2__s1.5__mgapexcess__f12,af3,,af3,0.6517443930224279,0.6425485416630083,106,106,0.14275542897828408,0.3319801075372445,0.5089889640441438,0.31056843412576385
atom_gaussian__g24__o2__s1.5__mgapsoft__f12,cell,human,af3,0.71875,0.7436889184982219,32,32,0.0,0.31460429173075105,0.71875,0.4290846267674709
atom_gaussian__g24__o2__s1.5__mgapsoft__f12,cell,yeast,af3,0.5703125,0.594783552006092,16,16,0.0,0.3222337977924731,0.5703125,0.27254975421361893
atom_gaussian__g24__o2__s1.5__mgapsoft__f12,cell,ecoli,af3,0.8888888888888888,0.9484126984126983,6,3,0.0,0.5021825396825397,0.8888888888888888,0.4462301587301586
atom_gaussian__g24__o2__s1.5__mgapsoft__f12,cell,arabidopsis,af3,0.6423076923076924,0.584594840495406,52,55,0.5223776223776224,0.4842459862421244,0.11993006993006994,0.1003488542532816
atom_gaussian__g24__o2__s1.5__mgapsoft__f12,global,,,0.6530793876824492,0.6431357046152432,106,106,0.14275542897828408,0.3319801075372445,0.5103239587041651,0.31115559707799867
atom_gaussian__g24__o2__s1.5__mgapsoft__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g24__o2__s1.5__mgapsoft__f12,af3,,af3,0.6530793876824492,0.6431357046152432,106,106,0.14275542897828408,0.3319801075372445,0.5103239587041651,0.31115559707799867
atom_gaussian__g24__o2__s1.5__mgapsoft__w2__f12,cell,human,af3,0.7236328125,0.7463252030727399,32,32,0.0,0.31460429173075105,0.7236328125,0.4317209113419888
atom_gaussian__g24__o2__s1.5__mgapsoft__w2__f12,cell,yeast,af3,0.5703125,0.5956143390895088,16,16,0.0,0.3222337977924731,0.5703125,0.2733805412970357
atom_gaussian__g24__o2__s1.5__mgapsoft__w2__f12,cell,ecoli,af3,0.8888888888888888,0.9484126984126983,6,3,0.0,0.5021825396825397,0.8888888888888888,0.4462301587301586
