candidate_id,diagnostic_slice,auroc,average_precision,n_pos,n_neg,positive_median_score,negative_median_score,positive_minus_negative_median,positive_fraction_ge_0_95,negative_fraction_ge_0_95,score_min,score_max,score_dynamic_range,saturation_reject
atom_gaussian__g24__o6__s2__mgapexcess__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.8333333333333334,0.8551587301587301,6,6,0.15096127419626965,0.03998172075999176,0.11097955343627788,0.0,0.0,0.024626603964370157,0.29341969589211914,0.268793091927749,0
atom_gaussian__g24__o6__s2__mgapsoft__f12,af3_mixed_200,0.5764,0.5944603125373132,100,100,0.07572181723102478,0.06993132490262743,0.005790492328397345,0.0,0.0,0.020061565791695882,0.3120971646167482,0.2920355988250523,1
atom_gaussian__g24__o6__s2__mgapsoft__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.8333333333333334,0.8551587301587301,6,6,0.15695426005111307,0.06016969534391167,0.0967845647072014,0.0,0.0,0.045270618282748344,0.2947301543694712,0.24945953608672286,0
atom_gaussian__g24__o6__s2__mgapsoft__w2__f12,af3_mixed_200,0.5831,0.5970024528029539,100,100,0.08185088847215034,0.07641953820479871,0.005431350267351628,0.0,0.0,0.024632402867553728,0.3394850551438378,0.31485265227628406,1
atom_gaussian__g24__o6__s2__mgapsoft__w2__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.8611111111111112,0.8773809523809524,6,6,0.1686427272615491,0.06261535383373576,0.10602737342781335,0.0,0.0,0.048909729002023276,0.3173480696140448,0.26843834061202154,0
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,af3_mixed_200,0.6642,0.6424995855914709,100,100,0.06259423886594973,0.053030780294216845,0.00956345857173288,0.0,0.0,0.017272526041072184,0.8615849199390601,0.8443123938979878,1
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,human_af3_hard_low_sc_pos_high_sc_neg,1.0,1.0,6,6,0.20840080379432624,0.03502819975935613,0.17337260403497012,0.0,0.0,0.030137462244567332,0.8615849199390601,0.8314474576944927,0
atom_gaussian__g32__o0__s1.5__moverlap__f12,af3_mixed_200,0.664,0.6424522357029079,100,100,0.06606601923704147,0.05539589747786522,0.010670121759176254,0.0,0.0,0.017567116767168045,0.8706340789794922,0.8530669622123241,0
atom_gaussian__g32__o0__s1.5__moverlap__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9722222222222222,0.9761904761904762,6,6,0.21575164794921875,0.03683518432080746,0.1789164636284113,0.0,0.0,0.03154033049941063,0.8706340789794922,0.8390937484800816,0
atom_gaussian__g32__o10__s1.5__f12,af3_mixed_200,0.5976,0.6038508286945209,100,100,0.9681838900109604,0.960965249897014,0.007218640113946351,0.73,0.6,0.49350266565115747,0.997263425779205,0.5037607601280476,1
atom_gaussian__g32__o10__s1.5__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.6388888888888888,0.6839646464646464,6,6,0.9783418578489398,0.9642339806689374,0.014107877180002393,0.8333333333333334,0.8333333333333334,0.8672689567417596,0.996464995894562,0.1291960391528023,1
atom_gaussian__g32__o10__s1.5__mgapband__f12,af3_mixed_200,0.6505,0.6358264854133878,100,100,0.053935447438561414,0.04509119929554593,0.00884424814301548,0.0,0.0,0.012880101047144989,0.6339379928520554,0.6210578918049104,1
atom_gaussian__g32__o10__s1.5__mgapband__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9722222222222222,0.9761904761904762,6,6,0.17790957992644638,0.03149465459539406,0.14641492533105233,0.0,0.0,0.025554526218492746,0.6339379928520554,0.6083834666335627,0
atom_gaussian__g32__o2__s1.5__mgapband__f12,af3_mixed_200,0.6139,0.6211038363290864,100,100,0.010218055288236251,0.008431275946380271,0.0017867793418559798,0.0,0.0,0.0009070592843138622,0.05532386448084113,0.05441680519652727,1
atom_gaussian__g32__o2__s1.5__mgapband__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.025107908030198557,0.006158572828299924,0.018949335201898634,0.0,0.0,0.0030615702348252287,0.05532386448084113,0.0522622942460159,0
atom_gaussian__g32__o2__s1.5__mgapcontact__cs0.03__f12,af3_mixed_200,0.6002,0.5923684586767299,100,100,0.08612640772268598,0.07661193443441713,0.009514473288268849,0.0,0.0,0.0,0.2161824123406014,0.2161824123406014,1
atom_gaussian__g32__o2__s1.5__mgapcontact__cs0.03__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.7777777777777778,0.7027777777777778,6,6,0.11050674409793945,0.03487904594714156,0.0756276981507979,0.0,0.0,0.0,0.15818183672678465,0.15818183672678465,0
atom_gaussian__g32__o2__s1.5__mgapcontact__cs0.07__f12,af3_mixed_200,0.6279,0.6026312262775385,100,100,0.05922930897329863,0.044122844252290606,0.015106464721008024,0.0,0.0,0.0,0.1668085238552102,0.1668085238552102,0
atom_gaussian__g32__o2__s1.5__mgapcontact__cs0.07__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.8611111111111112,0.8555555555555555,6,6,0.07358103058943147,0.017496697878192583,0.05608433271123889,0.0,0.0,0.0,0.12825494802531442,0.12825494802531442,0
atom_gaussian__g32__o2__s1.5__mgapexcess__f12,af3_mixed_200,0.6358,0.6318811219254732,100,100,0.005882503423842932,0.003972714539666359,0.001909788884176573,0.0,0.0,0.0,0.05516660394651782,0.05516660394651782,1
atom_gaussian__g32__o2__s1.5__mgapexcess__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.023400351669762422,0.0013951242347783005,0.02200522743498412,0.0,0.0,0.0,0.05516660394651782,0.05516660394651782,0
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,af3_mixed_200,0.6636,0.6413957370142775,100,100,0.05185624475584173,0.04293462389319613,0.008921620862645599,0.0,0.0,0.01636546675675826,0.8232583622979164,0.8068928955411582,1
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,human_af3_hard_low_sc_pos_high_sc_neg,1.0,1.0,6,6,0.18147248477191436,0.02993605993426691,0.15153642483764745,0.0,0.0,0.026264045357478706,0.8232583622979164,0.7969943169404377,0
atom_gaussian__g32__o2__s1.5__mgapsoft__f12,af3_mixed_200,0.6145,0.6215090830378365,100,100,0.010288789822690374,0.008446140489399949,0.0018426493332904248,0.0,0.0,0.0009285247039295874,0.05536131869115279,0.0544327939872232,1
atom_gaussian__g32__o2__s1.5__mgapsoft__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.02522354338053952,0.006164885645998577,0.019058657734540945,0.0,0.0,0.0030810929479209506,0.05536131869115279,0.05228022574323184,0
atom_gaussian__g32__o2__s1.5__mgapsoft__w2__f12,af3_mixed_200,0.6165,0.6237964459981643,100,100,0.011991911468288197,0.009962036466468717,0.0020298750018194808,0.0,0.0,0.0011917379538529003,0.06703034391030686,0.06583860595645397,1
atom_gaussian__g32__o2__s1.5__mgapsoft__w2__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.03191531549125391,0.007232858654560402,0.02468245683669351,0.0,0.0,0.003924010550183886,0.06495440510851784,0.06103039455833396,0
atom_gaussian__g32__o2__s1__mgapexcess__f12,af3_mixed_200,0.627,0.6556665097910396,100,100,0.0029972299526407516,2.4673534814306413e-05,0.002972556417826445,0.0,0.0,0.0,0.05516660394651782,0.05516660394651782,1
atom_gaussian__g32__o2__s1__mgapexcess__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9027777777777778,0.9761904761904762,6,6,0.02108438068655109,0.0,0.02108438068655109,0.0,0.0,0.0,0.05516660394651782,0.05516660394651782,0
atom_gaussian__g32__o2__s1__mgapsoft__f12,af3_mixed_200,0.6452,0.6354844605891999,100,100,0.005467435134443114,0.0023090363657932277,0.0031583987686498866,0.0,0.0,8.961588940041808e-05,0.05536131869115279,0.05527170280175237,1
